,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,age,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
111,Juan Mata,Valencia,AM(CLR),30(5),2587,9,4,1,-,1.6,82.8,0.1,3,7.06,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
112,Germán Lux,Mallorca,GK,0(1),45,-,-,-,-,-,70.6,-,-,7.06,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
113,Nilmar,Villarreal,FW,28(5),2476,11,4,1,-,1.9,75.8,0.4,3,7.05,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
114,Modeste M'Bami,Almeria,M(C),28,2400,-,-,7,-,0.1,79,1.4,-,7.05,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
115,Mario Suárez,Mallorca,M(C),27(7),2389,5,1,7,-,1.3,78.4,1.3,-,7.04,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
116,Román Martínez,Tenerife,M(C),18(5),1551,5,2,8,-,1.5,77.2,1,1,7.04,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
117,César Azpilicueta,Osasuna,M(R),33,2970,-,1,7,-,0.2,62.6,0.5,3,7.04,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
118,Nicolás Pareja,Espanyol,D(C),30,2639,-,-,9,3,0.5,73,1.6,-,7.03,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
119,Marc Bartra,Barcelona,DMC,0(1),29,-,-,-,-,-,61.5,1,-,7.03,19.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
120,Rovérsio,Osasuna,D(L),3,249,-,-,-,-,-,63.6,2,-,7.03,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
121,Markel Susaeta,Athletic Bilbao,M(LR),23(12),2352,4,4,7,-,1.8,76.1,0.3,1,7.03,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
122,Didier Zokora,Sevilla,M(C),25(1),2268,-,1,10,1,0.5,82.3,0.9,-,7.03,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
123,Fernando Soriano,Almeria,M(C),33(2),2894,7,2,13,-,1.8,74.5,1.1,1,7.02,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
